101,01-01-2023,0
102,01-01-2023,1
103,01-01-2023,0
104,01-01-2023,0
105,01-01-2023,0
106,01-01-2023,1
107,01-01-2023,0
108,01-01-2023,0
109,01-01-2023,0
110,01-01-2023,1
101,02-01-2023,0
102,02-01-2023,0
103,02-01-2023,1
104,02-01-2023,1
105,02-01-2023,0
106,02-01-2023,0
107,02-01-2023,1
108,02-01-2023,0
109,02-01-2023,0
110,02-01-2023,0
101,03-01-2023,0
102,03-01-2023,1
103,03-01-2023,1
104,03-01-2023,1
105,03-01-2023,0
106,03-01-2023,1
107,03-01-2023,0
108,03-01-2023,1
109,03-01-2023,0
110,03-01-2023,1
101,04-01-2023,0
102,04-01-2023,1
103,04-01-2023,1
104,04-01-2023,1
105,04-01-2023,0
106,04-01-2023,0
107,04-01-2023,1
108,04-01-2023,0
109,04-01-2023,1
110,04-01-2023,0
101,05-01-2023,0
102,05-01-2023,0
103,05-01-2023,0
104,05-01-2023,1
105,05-01-2023,1
106,05-01-2023,1
107,05-01-2023,1
108,05-01-2023,1
109,05-01-2023,0
110,05-01-2023,0
101,06-01-2023,0
102,06-01-2023,0
103,06-01-2023,0
104,06-01-2023,1
105,06-01-2023,0
106,06-01-2023,1
107,06-01-2023,0
108,06-01-2023,0
109,06-01-2023,1
110,06-01-2023,0
101,07-01-2023,0
102,07-01-2023,1
103,07-01-2023,0
104,07-01-2023,1
105,07-01-2023,1
106,07-01-2023,1
107,07-01-2023,0
108,07-01-2023,1
109,07-01-2023,0
110,07-01-2023,1
101,08-01-2023,0
102,08-01-2023,1
103,08-01-2023,0
104,08-01-2023,1
105,08-01-2023,1
106,08-01-2023,1
107,08-01-2023,0
108,08-01-2023,0
109,08-01-2023,1
110,08-01-2023,1
101,09-01-2023,1
102,09-01-2023,0
103,09-01-2023,1
104,09-01-2023,0
105,09-01-2023,0
106,09-01-2023,1
107,09-01-2023,1
108,09-01-2023,0
109,09-01-2023,0
110,09-01-2023,0
101,10-01-2023,0
102,10-01-2023,1
103,10-01-2023,1
104,10-01-2023,0
105,10-01-2023,1
106,10-01-2023,1
107,10-01-2023,0
108,10-01-2023,1
